ID,Name,Balance
cc26b56c-36f6-41f1-b689-d1d5065b95af,Joy Dean,4497.22
be6acfdc-cae1-4611-b3b2-dfb5167ba5fe,Bryan Rice,2632.76
43caa0b8-76a4-4e61-b7c3-f2f5ee4b4f77,Ms. Jamie Lopez,1827.85
69c93967-e20f-4735-9b8d-1b7dd56340ab,Lauren David,9778.70
60c233f0-1bfa-4f00-b1b3-5b6443c2670e,Gregory Elliott,1926.39
07414d78-ea39-46c3-a653-bd9c35381846,Ellen Miranda,785.83
9f43a9f5-65d8-4d71-a8e5-16e7c565173e,Joseph Krause,3096.18
270a774f-bb53-4101-b071-8e6111606911,Christina Mcintosh,6130.67
cedf4f99-28e5-488e-b7bf-b46fa448c251,Brittany Davis,9458.47
121b8a59-2b95-4009-925d-962425ab3fd8,Lauren Wallace,462.66
5c680fb1-9516-4ba4-87da-4eecbb9e8928,Carl Harvey,3272.41
9cd06bb1-0137-4f2d-bb63-4f970fcabb82,Michael Decker,3180.57
c7012e8f-266e-4401-8d75-fa7aa37ee311,Michael Moreno,7506.74
73886ecc-c94f-49e2-89c9-cdfad61901d2,Catherine Adams,5347.92
28add56d-b025-442e-9e04-359c94de7443,Cory Buchanan,9691.41
7f27684c-ce3b-45f3-b40e-22dde8702318,Jillian Marshall,3425.54
3df25dc0-ef5e-4ea3-abc3-52edd56ece7d,Teresa Wood,1854.35
fa5bcedd-a180-417e-bb49-bccef5a0cbaa,Rachel Stout,7983.74
f281d73e-ae45-4e0d-8624-20107d48cca2,Paula Fletcher,8196.17
04d2a518-faa4-4c72-9dfa-18383cd45b4d,Michelle Ward,6128.98
2e1d2320-3454-4c24-b9b6-cf9d20ac3a0f,John Wilson,9616.63
9ad16c8a-c261-4acb-8d01-83edeb2822a7,Gina Morales,7658.54
388ebaf2-fa23-43b2-b012-89d86e0fe226,Thomas Jefferson,5274.38
7de6c062-0bb7-44cb-9761-446194b482c3,Natalie Thomas,8336.32
e1b9f419-f587-47bd-ab4f-efd75b27e094,Stephen King,2997.65
46259dd7-d391-4aa9-afef-df6e0340caa7,Mrs. Sharon Nelson,2017.98
87cea382-7a70-44ba-9f44-84c0adc4868e,David Jackson,2466.72
7326d587-604d-4817-8af4-0b6f01eaf8e0,Jeremy Pennington,9159.42
f9cc2b8a-6540-4d54-b95a-84c16a25be61,Seth Lowe,2195.02
11e35f61-58e1-4a7c-8b28-c205c959494a,Jonathan Graham,7932.37
3db72fde-7f16-4bf1-aba6-c868c0b2e0bf,Johnathan Torres,6425.87
134bb124-e462-4527-9504-679c8e32e6fa,Michele Hill,8289.84
4bcf0053-c02e-460d-b05e-19524f0764f9,Amber Chan,3269.10
08ee4380-401d-49f3-81d6-1c741639e6be,Joseph Price,7748.36
4bb742bd-c69b-498f-bb32-2a6a87872f0c,Chelsea Carr,6649.30
e682da1c-19cc-455c-a464-605921d56e5c,Douglas Lee,485.72
a59db1b5-0e2a-46e6-add9-97727dc4a841,Stacey Mccoy,1588.50
cb1065d8-419f-4e41-bf23-7a221ff17465,Ashley Small,7314.81
c299d57b-cb76-45f7-9c79-2611e1f58248,Chase Nolan,742.04
